timestamp,ip,score,decision,rule_id
2025-09-14T05:55:11.909974,192.168.0.101,0.0,NORMAL,
2025-09-14T05:55:13.554218,192.168.0.22,0.19,NORMAL,
2025-09-14T05:55:13.955354,192.168.0.103,0.0,NORMAL,
2025-09-14T05:55:17.555198,192.168.0.10,0.09,NORMAL,
2025-09-14T05:55:21.555929,10.0.0.5,0.2,NORMAL,
2025-09-14T05:55:22.067274,192.168.0.107,0.0,NORMAL,
2025-09-14T05:55:22.088298,192.168.0.1,0.0,NORMAL,
2025-09-14T05:55:22.109228,148.113.8.174,0.0,NORMAL,
2025-09-14T05:55:22.130594,192.168.0.101,0.0,NORMAL,
2025-09-14T05:55:25.556481,8.8.8.8,0.87,BLOCKED,iso_forest
2025-09-14T05:55:26.208592,172.64.148.235,0.0,NORMAL,
2025-09-14T05:55:26.233161,192.168.0.107,0.0,NORMAL,
2025-09-14T05:55:28.315209,192.168.0.107,0.0,NORMAL,
2025-09-14T05:55:28.339457,192.168.0.1,0.0,NORMAL,
2025-09-14T05:55:28.364674,142.250.192.36,0.0,NORMAL,
2025-09-14T05:55:28.389271,192.168.0.107,0.0,NORMAL,
2025-09-14T05:55:28.414512,192.168.0.1,0.0,NORMAL,
2025-09-14T05:55:28.439765,142.250.192.36,0.0,NORMAL,
2025-09-14T05:55:28.463442,142.250.192.34,0.0,NORMAL,
2025-09-14T05:55:28.486259,142.250.183.99,0.0,NORMAL,
2025-09-14T05:55:28.509181,142.250.192.129,0.0,NORMAL,
2025-09-14T05:55:29.557021,10.0.0.5,0.23,NORMAL,
2025-09-14T05:55:30.650705,142.250.192.36,0.0,NORMAL,
2025-09-14T05:55:30.673884,142.250.70.67,0.0,NORMAL,
2025-09-14T05:55:30.696903,192.168.0.107,0.0,NORMAL,
2025-09-14T05:55:30.719594,142.250.76.209,0.0,NORMAL,
2025-09-14T05:55:30.743439,142.250.192.129,0.0,NORMAL,
2025-09-14T05:55:30.768991,192.168.0.1,0.0,NORMAL,
2025-09-14T05:55:30.792007,142.251.220.10,0.0,NORMAL,
2025-09-14T05:55:30.815224,104.18.146.40,0.0,NORMAL,
2025-09-14T05:55:30.838052,142.251.221.238,0.0,NORMAL,
2025-09-14T05:55:30.860879,45.133.44.23,0.0,NORMAL,
2025-09-14T05:55:30.883779,192.168.0.107,0.0,NORMAL,
2025-09-14T05:55:30.906683,192.168.0.1,0.0,NORMAL,
2025-09-14T05:55:30.929660,45.133.44.23,0.0,NORMAL,
2025-09-14T05:55:30.953593,79.127.216.229,0.0,NORMAL,
2025-09-14T05:55:30.976926,142.250.192.36,0.0,NORMAL,
2025-09-14T05:55:31.000891,89.222.125.204,0.0,NORMAL,
2025-09-14T05:55:31.026700,79.127.216.228,0.0,NORMAL,
2025-09-14T05:55:33.116573,192.168.0.1,0.0,NORMAL,
2025-09-14T05:55:33.137414,79.127.216.229,0.0,NORMAL,
2025-09-14T05:55:33.158239,192.168.0.107,0.0,NORMAL,
2025-09-14T05:55:33.179029,45.133.44.23,0.0,NORMAL,
2025-09-14T05:55:33.199992,79.127.216.228,0.0,NORMAL,
2025-09-14T05:55:33.221098,185.207.236.139,0.0,NORMAL,
2025-09-14T05:55:33.242191,88.208.13.67,0.0,NORMAL,
2025-09-14T05:55:33.263089,104.18.146.40,0.0,NORMAL,
2025-09-14T05:55:33.284258,142.251.220.8,0.0,NORMAL,
2025-09-14T05:55:33.305208,45.144.148.184,0.0,NORMAL,
2025-09-14T05:55:33.326082,88.208.5.211,0.0,NORMAL,
2025-09-14T05:55:33.347467,185.207.236.138,0.0,NORMAL,
2025-09-14T05:55:33.369100,79.127.216.229,0.0,NORMAL,
2025-09-14T05:55:33.389865,192.168.0.107,0.0,NORMAL,
2025-09-14T05:55:33.412350,88.208.13.67,0.0,NORMAL,
2025-09-14T05:55:33.435136,45.144.148.184,0.0,NORMAL,
2025-09-14T05:55:33.457840,185.207.236.138,0.0,NORMAL,
2025-09-14T05:55:33.480567,88.208.5.211,0.0,NORMAL,
2025-09-14T05:55:33.503418,192.168.0.1,0.0,NORMAL,
2025-09-14T05:55:33.526522,104.18.146.40,0.0,NORMAL,
2025-09-14T05:55:33.549472,79.127.216.222,0.0,NORMAL,
2025-09-14T05:55:33.557591,192.168.0.10,0.47,NORMAL,
2025-09-14T05:55:33.572331,45.133.44.23,0.0,NORMAL,
2025-09-14T05:55:35.634666,192.168.0.107,0.0,NORMAL,
2025-09-14T05:55:35.658020,192.168.0.1,0.0,NORMAL,
2025-09-14T05:55:35.681624,45.133.44.23,0.0,NORMAL,
2025-09-14T05:55:35.705074,89.222.125.204,0.0,NORMAL,
2025-09-14T05:55:35.728506,79.127.216.223,0.0,NORMAL,
2025-09-14T05:55:35.752307,79.127.216.225,0.0,NORMAL,
2025-09-14T05:55:35.775666,88.208.5.211,0.0,NORMAL,
2025-09-14T05:55:37.558303,192.168.0.22,0.73,SUSPICIOUS,heuristic
2025-09-14T05:55:37.843395,192.168.0.107,0.0,NORMAL,
2025-09-14T05:55:37.866394,79.127.216.225,0.0,NORMAL,
2025-09-14T05:55:37.889935,88.208.5.211,0.0,NORMAL,
2025-09-14T05:55:37.913488,192.168.0.107,0.0,NORMAL,
2025-09-14T05:55:37.936810,104.18.146.40,0.0,NORMAL,
2025-09-14T05:55:37.960240,45.133.44.23,0.0,NORMAL,
2025-09-14T05:55:37.985230,79.127.216.228,0.0,NORMAL,
2025-09-14T05:55:38.008884,79.127.216.229,0.0,NORMAL,
2025-09-14T05:55:38.033385,88.208.13.67,0.0,NORMAL,
2025-09-14T05:55:40.082987,192.168.0.107,0.0,NORMAL,
2025-09-14T05:55:40.106548,104.18.146.40,0.0,NORMAL,
2025-09-14T05:55:40.129686,79.127.216.229,0.0,NORMAL,
2025-09-14T05:55:40.152275,185.207.236.139,0.0,NORMAL,
2025-09-14T05:55:40.175018,88.208.13.67,0.0,NORMAL,
